Date,buy_hold_spy,buy_hold_qqq,trend_following_spy_200d,sixty_forty,dual_momentum,sector_momentum_top3_monthly,vix_overlay_spy_25,vix_overlay_spy_30,sector_rotation_5d_live,sector_rotation_sensitivity_best,ensemble_regime_routed,trend_leveraged_tqqq,trend_leveraged_upro,trend_with_inverse_sh,hedgefundie_55_45_upro_tmf,buy_dip_tqqq,vix_timing_with_inverse,tqqq_trend_1d_hold,tqqq_trend_5d_hold,tqqq_trend_21d_hold,tqqq_trend_vix_gated,tqqq_trend_trailing_stop_10pct,synth_3x_qqq_trend,synth_3x_spy_trend,synth_3x_qqq_trend_vix_gated,synth_3x_qqq_trend_trailing_stop_10pct
1993-09-01,107085.55702513036,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101489.07922459101,,
1993-09-02,106725.68739966366,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101499.1475856252,,
1993-09-03,106797.68814949396,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101509.21694550473,,
1993-09-07,106077.95678818903,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101519.28730432868,,
1993-09-08,105718.18972789303,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101529.35866219619,,
1993-09-09,105934.0815225847,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101539.43101920636,,
1993-09-10,106869.66523043868,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101549.50437545827,,
1993-09-13,106941.57919435532,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101559.57873105108,,
1993-09-14,106509.79560497198,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101569.65408608395,,
1993-09-15,106797.68814949396,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101579.73044065599,,
1993-09-16,106365.82566382547,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101589.80779486637,,
1993-09-17,106159.59077443647,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101599.88614881427,,
1993-09-20,105290.64286902238,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101609.96550259889,,
1993-09-21,104928.57203719992,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101620.04585631938,,
1993-09-22,105797.55150112807,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101630.12721007498,,
1993-09-23,106376.93426077494,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101640.20956396489,,
1993-09-24,106087.22710169447,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101650.29291808831,,
1993-09-27,107245.88216618903,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101660.37727254449,,
1993-09-28,107028.64124502125,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101670.46262743264,,
1993-09-29,106666.53885468471,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101680.54898285204,,
1993-09-30,106449.23481648882,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101690.63633890194,,
1993-10-01,106956.22234487964,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101700.72469568161,,
1993-10-04,107100.94180073513,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101710.81405329032,,
1993-10-05,106956.22234487964,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101720.90441182737,,
1993-10-06,106883.77977585251,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101730.99577139204,,
1993-10-07,106594.11995454312,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101741.08813208366,,
1993-10-08,106738.91830668374,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101751.18149400155,,
1993-10-11,106956.22234487964,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101761.27585724501,,
1993-10-12,107100.94180073513,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101771.3712219134,,
1993-10-13,107100.94180073513,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101781.46758810607,,
1993-10-14,108476.90090342559,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101791.56495592237,,
1993-10-15,109056.28366307248,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101801.66332546166,,
1993-10-18,108766.54494547793,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101811.76269682332,,
1993-10-19,107970.04749871952,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101821.86307010674,,
1993-10-20,108114.83796123162,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101831.96444541134,,
1993-10-21,107970.04749871952,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101842.0668228365,,
1993-10-22,107463.03630144314,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101852.17020248163,,
1993-10-25,107752.76712940916,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101862.27458444616,,
1993-10-26,107680.31667075348,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101872.37996882957,,
1993-10-27,107752.76712940916,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101882.48635573125,,
1993-10-28,108549.33558282422,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101892.59374525068,,
1993-10-29,108549.33558282422,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101902.70213748733,,
1993-11-01,108838.97962487656,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101912.81153254065,,
1993-11-02,108766.54494547793,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101922.92193051016,,
1993-11-03,107390.61740130154,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101933.03333149535,,
1993-11-04,106232.09646049174,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101943.14573559571,,
1993-11-05,106738.91830668374,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101953.25914291076,,
1993-11-08,106883.77977585251,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101963.37355354002,,
1993-11-09,106956.22234487964,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101973.48896758302,,
1993-11-10,107752.76712940916,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101983.60538513935,,
1993-11-11,107463.03630144314,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101993.72280630852,,
1993-11-12,107970.04749871952,,100471.80055089285,,,,,,100000.0,100000.0,,,,,,,,,,,,,,103433.66053788048,,
1993-11-15,107897.61281932089,,100404.39627692888,,,,,,100000.0,100000.0,,,,,,,,,,,,,,103221.7514755925,,
