Date,buy_hold_spy,trend_following_spy,vix_overlay_spy_30,vix_overlay_spy_25,sixty_forty,dual_momentum,sector_momentum_top3_monthly,sector_rotation_5d_live,sector_rotation_5d_trend_filter,sector_rotation_5d_vix_filter,sector_rotation_monthly_match_live,buy_hold_btc,btc_stress_overlay
2020-04-05,,,,,,,,,,,,1484938.6167189858,
2020-04-06,163864.48886787018,140546.69207105532,160443.81217645374,177290.04080238708,183913.5824391654,102208.68099697218,151384.04865714893,105434.77745285511,98942.3300669505,103551.62184708312,101967.71540305692,1590037.2623077354,6197549.649721909
2020-04-07,164031.54655448013,140546.69207105532,160408.7680674661,177251.31714313204,183255.68845696075,102186.35659500396,149937.38495823237,105573.7383141201,98942.3300669505,103551.62184708312,101755.88624760813,1569184.5165872688,6197549.649721909
2020-04-08,169537.83650693644,140546.69207105532,160426.3137897508,177270.70512561363,186413.31212167186,102197.53387325192,154078.89389173003,106717.0836274167,98942.3300669505,103551.62184708312,102922.58383441405,1603663.4918868185,6197549.649721909
2020-04-09,172117.73628464816,140546.69207105532,160391.2065666542,177231.9117254144,188250.81858347775,102175.16926524683,154855.6979463349,106672.54294185,98942.3300669505,103551.62184708312,103472.15709538267,1596664.3891956992,6197549.649721909
2020-04-10,,,,,,,,,,,,1501198.8919466478,
2020-04-11,,,,,,,,,,,,1499797.256371497,
2020-04-12,,,,,,,,,,,,1524288.9375968284,
2020-04-13,170546.2931155329,140546.69207105532,160426.3137897508,177270.70512561366,186532.08574721793,102197.53387325192,154137.19751565988,106176.89961534583,98942.3300669505,103551.62184708312,103155.33318398427,1496726.1071241468,6197549.649721909
2020-04-14,175576.16005578518,140546.69207105532,160443.81217645376,177290.0408023871,189814.65034285258,102208.68099697222,160178.25589465763,106494.94334847675,98942.3300669505,103551.62184708312,104274.61930973172,1496155.4381609245,6197549.649721909
2020-04-15,171845.48576076358,140546.69207105532,160426.3137897508,177270.70512561366,189405.9483198494,102197.53387325194,157895.84795453836,106114.98128164753,98942.3300669505,103551.62184708312,103743.99528970043,1452354.2196705828,6197549.649721909
2020-04-16,172674.5918167716,140546.69207105532,160408.76806746612,177251.31714313204,190814.67952529885,102186.356595004,160033.0056733272,106053.0609780771,98942.3300669505,103551.62184708312,104187.93288933582,1556150.2025801416,6197549.649721909
2020-04-17,177339.45203805345,140546.69207105532,160443.8121764538,177290.0408023871,192884.52070381402,102208.68099697225,162663.7453092246,106452.69187592644,98942.3300669505,103551.62184708312,104857.79130682297,1551641.544086613,6197549.649721909
2020-04-18,,,,,,,,,,,,1586950.6318630667,
2020-04-19,,,,,,,,,,,,1572029.320053135,
2020-04-20,174215.0512125726,140546.69207105532,160426.3137897508,177270.70512561366,191466.23890985394,102197.53387325196,160298.17425620844,106333.11457955018,98942.3300669505,103551.62184708312,104236.12063324952,1504799.1778416557,6197549.649721909
2020-04-21,168925.36012089526,140546.69207105532,160426.3137897508,177270.70512561366,188942.51309090777,102197.53387325196,155299.58141634922,105660.94372331726,98942.3300669505,103551.62184708312,103310.48241800317,1504441.615567038,6197549.649721909
2020-04-22,172674.5918167716,140546.69207105532,160426.3137897508,177270.70512561366,190686.46577720362,102197.53387325196,158582.44986604777,106094.08241669092,98942.3300669505,103551.62184708312,104087.08541429492,1556238.3920214179,6197549.649721909
2020-04-23,172662.16544431215,140546.69207105532,160443.8121764538,177290.0408023871,191083.12387392978,102208.68099697227,158040.5571518962,106449.76876316576,98942.3300669505,103551.62184708312,103954.40551687195,1624572.930819534,6197549.649721909
2020-04-24,175068.85596756,140546.69207105532,160426.3137897508,177270.70512561366,192860.53270138896,102197.53387325199,160427.6899418746,106606.70289847575,98942.3300669505,103551.62184708312,104343.02331715627,1651069.160180412,6197549.649721909
2020-04-25,,,,,,,,,,,,1655231.3601546413,
2020-04-26,,,,,,,,,,,,1679268.7483138342,
2020-04-27,177593.05273351952,140546.69207105532,160426.3137897508,177270.70512561366,193093.04102552673,102197.53387325199,161728.91899352596,106959.87893975867,98942.3300669505,103551.62184708312,104686.94687675886,1704574.9540518732,6197549.649721909
